trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id
bus_trip_bus_trip_0004019782023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019792023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019802023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019812023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019822023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019832023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019842023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004019862023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004019872023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004019892023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004019912023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004019932023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,0000010,bus_stop_151
bus_trip_bus_trip_0004020002023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020012023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020022023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020032023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020042023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020052023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020062023091120240611,3,bus_route_bus_route_617,D748_T1601_Andata_PRINCIPALE_sub2,0,"Povo ""Polo Sociale"" Cap.",1111100,bus_stop_2383
bus_trip_bus_trip_0004020072023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020082023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020092023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020102023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020112023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020122023091120240611,3,bus_route_bus_route_617,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020142023091120240611,3,bus_route_bus_route_484,D752_T1652_Ritorno_sub2,1,"Guardini ""Centochiavi""",1111100,bus_stop_2549
bus_trip_bus_trip_0004020192023091120240611,3,bus_route_bus_route_570,D2_C0542a_Ritorno_sub1,0,Cimirlo,1111100,bus_stop_186
bus_trip_bus_trip_0004020202023091120240611,3,bus_route_bus_route_570,D2_C0542a_Ritorno_sub1,0,Cimirlo,1111100,bus_stop_186
bus_trip_bus_trip_0004020212023091120240611,3,bus_route_bus_route_570,D2_C0542a_Ritorno_sub2,1,Povo Piazza Manci,1111100,bus_stop_2524
bus_trip_bus_trip_0004020222023091120240611,3,bus_route_bus_route_570,D2_C0542a_Ritorno_sub2,1,Povo Piazza Manci,1111100,bus_stop_2524
bus_trip_bus_trip_0004020232023091120240611,3,bus_route_bus_route_570,D2_C0542a_Ritorno_sub2,1,Povo Piazza Manci,1111100,bus_stop_2524
bus_trip_bus_trip_0004020262023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111100,bus_stop_3049
bus_trip_bus_trip_0004020272023091120240611,3,bus_route_bus_route_607,,0,Pressano Piazza,1111110,bus_stop_3014
bus_trip_bus_trip_0004020282023091120240611,3,bus_route_bus_route_607,,0,Pressano Piazza,1111110,bus_stop_3014
bus_trip_bus_trip_0004020292023091120240611,3,bus_route_bus_route_613,,0,Pressano Piazza,1111100,bus_stop_3014
bus_trip_bus_trip_0004020302023091120240611,3,bus_route_bus_route_610,,0,"Lavis ""Stazione Fs""",1111100,bus_stop_3014
bus_trip_bus_trip_0004020312023091120240611,3,bus_route_bus_route_610,,0,"Lavis ""Stazione Fs""",1111100,bus_stop_3014
bus_trip_bus_trip_0004020322023091120240611,3,bus_route_bus_route_610,,0,"Lavis ""Stazione Fs""",1111100,bus_stop_3014
bus_trip_bus_trip_0004020332023091120240611,3,bus_route_bus_route_610,,0,"Lavis ""Stazione Fs""",1111100,bus_stop_3014
bus_trip_bus_trip_0004020342023091120240611,3,bus_route_bus_route_612,,0,Lavis Via Nazionale,1111100,bus_stop_3014
bus_trip_bus_trip_0004020352023091120240611,3,bus_route_bus_route_612,,0,Lavis Via Nazionale,1111100,bus_stop_3014
bus_trip_bus_trip_0004020362023091120240611,3,bus_route_bus_route_612,,0,Lavis Via Nazionale,1111100,bus_stop_3014
bus_trip_bus_trip_0004020372023091120240611,3,bus_route_bus_route_612,,0,Lavis Via Nazionale,1111100,bus_stop_3014
bus_trip_bus_trip_0004020382023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111110,bus_stop_3014
bus_trip_bus_trip_0004020392023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111110,bus_stop_3014
bus_trip_bus_trip_0004020402023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111110,bus_stop_3014
bus_trip_bus_trip_0004020412023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111110,bus_stop_3014
bus_trip_bus_trip_0004020422023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111100,bus_stop_3014
bus_trip_bus_trip_0004020432023091120240611,3,bus_route_bus_route_607,,0,Sorni,0000010,bus_stop_3014
bus_trip_bus_trip_0004020442023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111100,bus_stop_3014
bus_trip_bus_trip_0004020452023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111100,bus_stop_3014
bus_trip_bus_trip_0004020462023091120240611,3,bus_route_bus_route_607,,0,Sorni,1111110,bus_stop_3014
bus_trip_bus_trip_0004020472023091120240611,3,bus_route_bus_route_613,,0,Sorni,1111100,bus_stop_3014
bus_trip_bus_trip_0004020482023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111100,bus_stop_3047
bus_trip_bus_trip_0004020492023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020502023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020512023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020522023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020532023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111100,bus_stop_3047
bus_trip_bus_trip_0004020542023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,0000010,bus_stop_3047
bus_trip_bus_trip_0004020552023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111100,bus_stop_3047
bus_trip_bus_trip_0004020562023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111100,bus_stop_3047
bus_trip_bus_trip_0004020572023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020582023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020592023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3036
bus_trip_bus_trip_0004020602023091120240611,3,bus_route_bus_route_607,,1,Lavis Via Nazionale,1111110,bus_stop_3036
bus_trip_bus_trip_0004020612023091120240611,3,bus_route_bus_route_613,,1,Lavis Via Nazionale,1111110,bus_stop_3047
bus_trip_bus_trip_0004020622023091120240611,3,bus_route_bus_route_613,,1,Lavis Via Nazionale,1111100,bus_stop_3047
bus_trip_bus_trip_0004020632023091120240611,3,bus_route_bus_route_613,,1,Lavis Via Nazionale,1111100,bus_stop_3036
bus_trip_bus_trip_0004020642023091120240611,3,bus_route_bus_route_610,,1,Lavis Via Nazionale,1111100,bus_stop_3027
bus_trip_bus_trip_0004020652023091120240611,3,bus_route_bus_route_610,,1,Lavis Via Nazionale,1111100,bus_stop_3027
bus_trip_bus_trip_0004020662023091120240611,3,bus_route_bus_route_610,,1,Lavis Via Nazionale,1111100,bus_stop_3027
