trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004000812023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1613
bus_trip_0004000822023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1614
bus_trip_0004000832023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1615
bus_trip_0004000842023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1616
bus_trip_0004000852023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1617
bus_trip_0004000862023091120240611,3,bus_route_396,D530_T0303_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1618
bus_trip_0004000872023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1619
bus_trip_0004000882023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1620
bus_trip_0004000892023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1621
bus_trip_0004000902023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1622
bus_trip_0004000912023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1623
bus_trip_0004000922023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1624
