id,longitude,latitude
139,11.109014,46.106196
140,11.131083,46.045723
141,11.131182,46.047963
142,11.130406,46.051053
143,11.129887,46.052827
144,11.128573,46.05648
145,11.126666,46.05926
146,11.123946,46.062244
147,11.123987,46.075624
148,11.123274,46.077968
149,11.122109,46.080071
150,11.120416,46.083031
151,11.11843,46.08648
152,11.115601,46.091499
153,11.116446,46.092327
154,11.117806,46.091131
155,11.15801,46.065718
156,11.120437,46.072301
157,11.122012,46.071849
158,11.126826,46.070388
159,11.12985,46.064413
160,11.132883,46.062096
161,11.135919,46.061688
162,11.136383,46.053211
163,11.13724,46.050295
164,11.137591,46.047706
165,11.139478,46.044632
166,11.140651,46.043932
167,11.143371,46.048201
168,11.143947,46.049358
169,11.14602,46.048996
170,11.148486,46.050762
171,11.148768,46.046735
172,11.149677,46.043566
173,11.151756,46.043306
174,11.151173,46.045775
175,11.101207,46.107391
176,11.100545,46.105192
177,11.103255,46.101923
178,11.106659,46.100323
179,11.109269,46.099273
180,11.107433,46.105625
181,11.103845,46.107233
182,11.128072,46.070192
183,11.128394,46.074217
184,11.128156,46.075498
185,11.128205,46.076647
186,11.127221,46.082249
187,11.127864,46.083464
188,11.129247,46.086329
189,11.130593,46.088719
190,11.131586,46.090133
191,11.130103,46.094528
192,11.126986,46.09764
193,11.124144,46.102457
194,11.123519,46.10449
195,11.137467,46.106369
196,11.138496,46.11041
197,11.140128,46.109413
198,11.14267,46.108248
199,11.141608,46.07644
200,11.138755,46.080041
201,11.135788,46.083257
202,11.133177,46.088977
203,11.140077,46.109498
204,11.138462,46.110514
205,11.137553,46.106393
206,11.123396,46.104411
207,11.123991,46.102269
208,11.12683,46.097687
209,11.129425,46.094843
210,11.132591,46.092338
211,11.133132,46.089145
212,11.135662,46.083248
213,11.138364,46.080233
214,11.141634,46.076338
215,11.111622,46.106607
216,11.111681,46.108364
217,11.109534,46.111157
218,11.107735,46.113334
219,11.105325,46.119112
220,11.103287,46.123098
221,11.099827,46.124688
222,11.097414,46.123637
223,11.090102,46.121625
224,11.110526,46.113949
225,11.116633,46.114547
226,11.117253,46.11529
227,11.103939,46.118168
228,11.100034,46.11841
229,11.096121,46.118514
230,11.094238,46.117775
231,11.092667,46.11874
232,11.091282,46.120478
233,11.11117,46.113874
234,11.091212,46.120397
235,11.092762,46.118457
236,11.094421,46.117756
237,11.096514,46.118533
238,11.100013,46.116615
239,11.101847,46.11507
240,11.105462,46.110073
241,11.10538,46.107957
242,11.105638,46.106424
243,11.10728,46.105498
244,11.117276,46.070285
245,11.113433,46.070815
246,11.109667,46.071043
247,11.105332,46.07348
248,11.101057,46.076115
249,11.099858,46.077263
250,11.099223,46.078559
251,11.098555,46.080315
252,11.068176,46.086415
253,11.069357,46.086991
254,11.065061,46.088578
255,11.047183,46.078354
256,11.055913,46.075888
257,11.058451,46.07555
258,11.059187,46.071342
259,11.05707,46.069285
260,11.059531,46.066982
261,11.061514,46.067712
262,11.063551,46.069001
263,11.057969,46.069969
264,11.059527,46.071176
265,11.146087,46.049107
266,11.14384,46.049327
267,11.142286,46.047437
268,11.140139,46.043827
269,11.139674,46.044677
270,11.137738,46.047682
271,11.137304,46.049614
272,11.136438,46.053087
273,11.135814,46.061756
274,11.132819,46.062261
275,11.131873,46.0655
276,11.128745,46.067114
277,11.124266,46.060865
278,11.118603,46.089831
279,11.12013,46.086577
280,11.137726,46.039317
281,11.140832,46.039514
282,11.14068,46.041035
283,11.144092,46.03951
284,11.146204,46.03626
285,11.058645,46.075587
286,11.05575,46.075948
287,11.047586,46.078528
288,11.064526,46.088767
289,11.068883,46.087128
290,11.069798,46.085345
291,11.105624,46.073335
292,11.109664,46.07096
293,11.111447,46.070531
294,11.11674,46.070164
295,11.119089,46.070362
296,11.119314,46.057759
297,11.123793,46.058637
298,11.117145,46.057498
299,11.11612,46.056236
300,11.116794,46.05317
301,11.117076,46.050958
302,11.115704,46.047131
303,11.113381,46.045472
304,11.111775,46.04289
305,11.110995,46.040932
306,11.108836,46.038007
307,11.112482,46.039286
308,11.114055,46.037329
309,11.112713,46.032327
310,11.111593,46.028929
311,11.110866,46.020118
312,11.108328,46.016805
313,11.107137,46.015241
314,11.105542,46.013013
315,11.105053,46.014708
316,11.10587,46.017727
317,11.118149,46.056933
318,11.118539,46.053262
319,11.11346,46.047882
320,11.111681,46.050945
321,11.107763,46.03773
322,11.106068,46.04147
323,11.105369,46.044409
324,11.125004,46.074753
325,11.111543,46.100402
326,11.110516,46.103414
327,11.108745,46.108607
328,11.107453,46.112375
329,11.106145,46.119198
330,11.106445,46.121478
331,11.135449,46.040111
332,11.134171,46.03806
333,11.132068,46.04019
334,11.1325,46.092456
335,11.128326,46.134055
336,11.121329,46.130305
337,11.119865,46.128357
338,11.11658,46.12745
339,11.115532,46.129
340,11.112827,46.124688
341,11.111323,46.11965
342,11.108621,46.117278
343,11.140403,46.039362
344,11.137235,46.039824
345,11.112888,46.098824
346,11.112927,46.101135
347,11.112908,46.104302
348,11.112223,46.106596
349,11.110047,46.117667
350,11.111463,46.119793
351,11.113511,46.124991
352,11.114628,46.126807
353,11.1152,46.128153
354,11.116859,46.122693
355,11.118399,46.125734
356,11.120321,46.128287
357,11.121651,46.130566
358,11.126294,46.130527
359,11.165565,46.067029
360,11.168863,46.066016
361,11.172052,46.065461
362,11.175603,46.067848
363,11.176795,46.071795
364,11.1787,46.068223
