id,name,product_category,store_name,points
613,CENTRO STORICO PIEDICASTELLO,OROLOGI-ART.GIOIELLERIA-ARGENTERIA,POCHER S.N.C. DI POCHER DIEGO & C.,POINT (11.116905 46.090371)
614,CENTRO STORICO PIEDICASTELLO,MOBILI,CASATUA ITALIA S.R.L.,POINT (11.116905 46.090371)
615,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",CASATUA ITALIA S.R.L.,POINT (11.116905 46.090371)
616,CENTRO STORICO PIEDICASTELLO,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,CAGOL DANIEL,POINT (11.116905 46.090371)
617,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.,POINT (11.116905 46.090371)
618,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,D.M.O. - DETTAGLIO MODERNO ORGANIZZATO S.P.A.,POINT (11.116905 46.090371)
619,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,M & T COMMERCE S.R.L.,POINT (11.116905 46.090371)
620,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,BONICHINI LORENZO,POINT (11.116905 46.090371)
621,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,PITTAROSSO S.P.A.,POINT (11.116905 46.090371)
622,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,NANI S.R.L.,POINT (11.116905 46.090371)
623,CENTRO STORICO PIEDICASTELLO,PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.,NUOVA CORAL SNC DI MONTAGNER MATTIA & C.,POINT (11.116905 46.090371)
624,CENTRO STORICO PIEDICASTELLO,ART.REGALO-ARTIGIANATO LOCALE,NUOVA CORAL SNC DI MONTAGNER MATTIA & C.,POINT (11.116905 46.090371)
625,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,NUOVA CORAL SNC DI MONTAGNER MATTIA & C.,POINT (11.116905 46.090371)
626,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,4G RETAIL SRL,POINT (11.116905 46.090371)
627,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MODIX S.A.S. DI MOLON MARCO E ANDREA & CO.,POINT (11.116905 46.090371)
628,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ZANETTI PALMINA,POINT (11.116905 46.090371)
629,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,DALLA PELLEGRINA MASSIMO,POINT (11.116905 46.090371)
630,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,TIRI S.A.S. DI GIANORDOLI TIZIANA E C.,POINT (11.116905 46.090371)
631,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,BEATE UHSE ITALIA SRL,POINT (11.116905 46.090371)
632,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,MONTAGNER GIANINO,POINT (11.116905 46.090371)
633,CENTRO STORICO PIEDICASTELLO,ERBORISTERIE,RIZZOLI PAOLO,POINT (11.116905 46.090371)
634,CENTRO STORICO PIEDICASTELLO,PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.,INDAL S.R.L.,POINT (11.116905 46.090371)
635,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,COIFFEUR SERVICE SHOW DI CIAPPI BRUNO & C. S.N.C.,POINT (11.116905 46.090371)
636,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,PALLUA KARIN,POINT (11.116905 46.090371)
637,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,D.M.O. DETTAGLIO MODERNO ORGANIZZATO SPA,POINT (11.116905 46.090371)
638,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,GAMESTOP ITALY S.R.L.,POINT (11.116905 46.090371)
639,CENTRO STORICO PIEDICASTELLO,AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI,OFFICINA ODORIZZI S.N.C. DI ODORIZZI DANIELA & C.,POINT (11.119987 46.083262)
640,CENTRO STORICO PIEDICASTELLO,COMMERCIO AL DETTAGLIO DEI MINIMERCATI,SHOPPING CLUB TRENTINO S.R.L.,POINT (11.119115 46.08585)
641,CENTRO STORICO PIEDICASTELLO,,POLO FRIGO S.R.L.,POINT (11.109703 46.088619)
642,CENTRO STORICO PIEDICASTELLO,ART.ILLUMINAZIONE E MATERIALE ELETTRICO,S.A.T. DI GIOVANETTI GIANFRANCO S.N.C.,POINT (11.12277 46.085561)
643,CENTRO STORICO PIEDICASTELLO,,TASIN CARLO S.R.L.,POINT (11.107238 46.090874)
644,CENTRO STORICO PIEDICASTELLO,,DATA SISTEMI DI GOLLER MAURO & C. S.N.C.,POINT (11.109662 46.088666)
645,CENTRO STORICO PIEDICASTELLO,,TRENTINO ECOENERGY S.R.L.,POINT (11.119417 46.085061)
646,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MERCATINO CINESE S.R.L.,POINT (11.115544 46.09201)
647,CENTRO STORICO PIEDICASTELLO,,BALDESSARI IVAN,POINT (11.111813 46.089627)
648,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,OBI ITALIA S.R.L.,POINT (11.120254 46.083524)
649,CENTRO STORICO PIEDICASTELLO,VARIE,COLORVISION OUTLET SRL,POINT (11.115214 46.082684)
650,CENTRO STORICO PIEDICASTELLO,OTTICA-FOTOGRAFIA-CINEMATOGRAFIA-STRUMEN,COLORVISION OUTLET S.R.L.,POINT (11.115214 46.082684)
651,CENTRO STORICO PIEDICASTELLO,ARTICOLI IGIENICO SANITARI,COLORVISION OUTLET S.R.L.,POINT (11.115214 46.082684)
652,CENTRO STORICO PIEDICASTELLO,ARTICOLI MEDICALI E ORTOPEDICI,COLORVISION OUTLET S.R.L.,POINT (11.115214 46.082684)
653,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,COLORVISION OUTLET S.R.L.,POINT (11.115214 46.082684)
