WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664532.429746886 5102822.2151443)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"2680";VIALE ROVERETO;"1";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;45;BRIDI IVANA;"23514";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIALE ROVERETO, 1"
"POINT (663254.950043121 5104043.25501281)";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;NON ALIMENTARE;"ACCESSORI PER AUTOMOBILI, LUBRIFICANTI, ECC.";"430";VIA BRESCIA;"27";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;7;NAUTILUS S.A.S. DI DEGASPERI ANTONIO & C.;"25114";"ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL. - VIA BRESCIA, 27"
"POINT (663943.274810021 5103359.71711927)";GIORNALI-RIVISTE E PERIODICI;;;"2670";VIA A. ROSMINI;"61";GIORNALI-RIVISTE E PERIODICI;25;METLICOVEC ANDREA;"36806";"GIORNALI-RIVISTE E PERIODICI - VIA A. ROSMINI, 61"
"POINT (664356.364227651 5103715.41439916)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;;"530";VIA CALEPINA;"63";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;66;GIAMPICCOLO PETER;"47906";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIA CALEPINA, 63"
"POINT (663981.993879068 5103891.13536819)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"1450";PIAZZETTA P. DIEGO LAINEZ;"2";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;35;CAMICERIA LA MIA CAMICIA S.R.L.;"23642";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - PIAZZETTA P. DIEGO LAINEZ, 2"
"POINT (664330.835148455 5103785.7067426)";LIBRI NUOVI;NON ALIMENTARE;"CARTOLERIA, CANCELLERIA, ECC.";"2620";VIA DELLA ROGGIA GRANDE;"26";LIBRI NUOVI;48;SCALA S.R.L.;"34497";"LIBRI NUOVI - VIA DELLA ROGGIA GRANDE, 26"
"POINT (664262.606170065 5103448.78233971)";ERBORISTERIE;ALIMENTARE E NON ALIMENTARE;;"1130";PIAZZA DI FIERA;"7";ERBORISTERIE;119;NATURERBE E SANITARI DI EMANUELA BOSCHETTI E ALBERTO DEGASPE;"9323";"ERBORISTERIE - PIAZZA DI FIERA, 7"
"POINT (664262.606170065 5103448.78233971)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;ALIMENTARE E NON ALIMENTARE;ALIMENTI E BEVANDE;"1130";PIAZZA DI FIERA;"7";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;119;NATURERBE E SANITARI DI EMANUELA BOSCHETTI E ALBERTO DEGASPE;"9323";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - PIAZZA DI FIERA, 7"
"POINT (664261.243941855 5102994.98500897)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;ALIMENTARE E NON ALIMENTARE;;"2330";VIA F.LLI PERINI;"169";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;44;BRENDOLAN CRISTINA;"29637";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA F.LLI PERINI, 169"
"POINT (664261.243941855 5102994.98500897)";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;ALIMENTARE E NON ALIMENTARE;INTEGRATORI ALIMENTARI;"2330";VIA F.LLI PERINI;"169";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;44;BRENDOLAN CRISTINA;"29637";"ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE - VIA F.LLI PERINI, 169"
