WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664719.012802245 5097537.96506857)";MATERIALE DA COSTRUZIONE;NON ALIMENTARE;;"7790";VIA DELLA COOPERAZIONE;"7";MATERIALE DA COSTRUZIONE;318;BAUEXPERT SPA;"47184";"MATERIALE DA COSTRUZIONE - VIA DELLA COOPERAZIONE, 7"
"POINT (666572.9151373 5101725.317251)";MATERIALE DA COSTRUZIONE;NON ALIMENTARE;"INFISSI, VETRI PIANI PER PANNELLATURE ESTERNE, ECC.";"7264";VIA DELL'ANCONA;"5";MATERIALE DA COSTRUZIONE;0;CSD - CONSTRUCTION SYSTEMS DEVELOPMENT S.R.L.;"45588";"MATERIALE DA COSTRUZIONE - VIA DELL'ANCONA, 5"
"POINT (659274.211200837 5104081.95672433)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"8039";VIA DI REVOLTA;"17";GIORNALI-RIVISTE E PERIODICI;98;UBER STEFANO;"43925";"GIORNALI-RIVISTE E PERIODICI - VIA DI REVOLTA, 17"
"POINT (664996.577455779 5100067.05987616)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"1760";VIA A. MARIGHETTO;"127";MATERIALI TERMOIDRAULICI;119;Z. DUE S.A.S. DI ZAMBALDI SABRINA & C.;"21701";"MATERIALI TERMOIDRAULICI - VIA A. MARIGHETTO, 127"
"POINT (664996.577455779 5100067.05987616)";MATERIALE DA COSTRUZIONE;NON ALIMENTARE;;"1760";VIA A. MARIGHETTO;"127";MATERIALE DA COSTRUZIONE;119;Z. DUE S.A.S. DI ZAMBALDI SABRINA & C.;"21701";"MATERIALE DA COSTRUZIONE - VIA A. MARIGHETTO, 127"
"POINT (664432.052138603 5101527.62179394)";ARTICOLI MEDICALI E ORTOPEDICI;NON ALIMENTARE;;"3525";VIA A. VOLTA;"8";ARTICOLI MEDICALI E ORTOPEDICI;210;GAFYNETS NATALIIA;"38817";"ARTICOLI MEDICALI E ORTOPEDICI - VIA A. VOLTA, 8"
"POINT (665145.293374021 5100830.62568632)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;;"290";VIA A. BETTINI;"7";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;30;AZIENDA SPECIALE PER LA GESTIONE DEGLI IMPIANTI SPORTIVI;"24247";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIA A. BETTINI, 7"
"POINT (664859.830955037 5101592.22817445)";PANE E LATTE;ALIMENTARE;"PANE, PASTICCERIA, BEVANTI, ALIMENTI CONFEZIONATI, ECC.";"3450";VIALE VERONA;"186";PANE E LATTE;24;GIULIANO SOSI S.R.L.;"44592";"PANE E LATTE - VIALE VERONA, 186"
"POINT (664203.070020305 5100848.8607145)";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;NON ALIMENTARE;MATERIALE PROMOZIONALE E GADGET;"1120";VIA FERSINA;"15";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;81;HOCKEY CLUB TRENTO A.S.D.;"29165";"ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL. - VIA FERSINA, 15"
"POINT (664458.220126281 5101540.64919333)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;;"1090";VIA E. FERMI;13/2;ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;236;TECNOSCI S.R.L.;"19491";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIA E. FERMI, 13/2"
"POINT (664745.0641255 5097111.968303)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;ABBIGLIAMENTO E ACCESSORI;"7795";VIA G. CATONI;"28";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;34;NICOLETTI ANNAMARIA;"40153";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA G. CATONI, 28"
"POINT (664405.012886434 5095781.50566026)";;NON ALIMENTARE;;"7815";VIA NAZIONALE;"196";;0;ALCON S.R.L.;"45474";
"POINT (666608.08449119 5103599.33988413)";PANE E LATTE;ALIMENTARE E NON ALIMENTARE;"PANE, LATTE ED AFFINI";"7460";VIA DON TOMMASO DALLAFIOR;"2";PANE E LATTE;33;MERZ MARIA CRISTINA;"43035";"PANE E LATTE - VIA DON TOMMASO DALLAFIOR, 2"
"POINT (663020.55673785 5100435.04876971)";PANE E LATTE;ALIMENTARE E NON ALIMENTARE;;"8790";VIA DON M. MAZZONELLI;"6";PANE E LATTE;55;PANIFICIO PASTICCERIA ARTIGIANALE LARCHER S.N.C. DI LARCHER;"19108";"PANE E LATTE - VIA DON M. MAZZONELLI, 6"
"POINT (662177.461860126 5103340.47196304)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"8600";VIA ALTO SASSO;"21";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;181;FAMIGLIA COOPERATIVA DI POVO SOCIETÀ COOPERATIVA;"14161";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA ALTO SASSO, 21"
"POINT (662177.461860126 5103340.47196304)";GIORNALI-RIVISTE E PERIODICI;;;"8600";VIA ALTO SASSO;"21";GIORNALI-RIVISTE E PERIODICI;91;FAMIGLIA COOPERATIVA DI POVO SOCIETÀ COOPERATIVA;"9112";"GIORNALI-RIVISTE E PERIODICI - VIA ALTO SASSO, 21"
"POINT (664375.134365772 5101592.85093965)";;NON ALIMENTARE;;"3525";VIA A. VOLTA;"58";;0;CAMMARATA CALOGERO;"25409";
"POINT (664854.049347099 5101452.65037136)";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;ALIMENTARE E NON ALIMENTARE;;"3450";VIALE VERONA;"196";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;10;DE.KO. S.A.S. DI KOVACEVIC ESED;"12161";"ART.PER IMPIANTI DISTRIBUZ.CARBURANTI - VIALE VERONA, 196"
"POINT (664854.049347099 5101452.65037136)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";ALIMENTARE E NON ALIMENTARE;;"3450";VIALE VERONA;"196";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";10;DE.KO. S.A.S. DI KOVACEVIC ESED;"12161";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIALE VERONA, 196"
"POINT (665073.172592654 5097870.77653703)";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);ALIMENTARE E NON ALIMENTARE;;"7990";VIA POMERANOS;"18";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);760;SUPERMERCATI POLI S.P.A.;"23546";"SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE) - VIA POMERANOS, 18"
"POINT (663690.234287266 5100256.63095782)";ELETTRONICA- DISCHI E NASTRI VIDEO;NON ALIMENTARE;;"8803";VIA STELLA;9/B;ELETTRONICA- DISCHI E NASTRI VIDEO;10;SIGMA SNC;"28428";"ELETTRONICA- DISCHI E NASTRI VIDEO - VIA STELLA, 9/B"
"POINT (666710.276061918 5103663.80760254)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;PRODOTTI PER L'ESTETICA;"7485";VIA DELLA RESISTENZA;"25";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;5;MOSNA ALESSANDRA;"43812";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA DELLA RESISTENZA, 25"
"POINT (663110.263508019 5098174.02228964)";GIOCHI E GIOCATTOLI;NON ALIMENTARE;;"8970";VIA DEI RIMONI;"26";GIOCHI E GIOCATTOLI;74;TRATTORIA-PIZZERIA-BAR-SMORZA DI CALDONAZZI CLAUDIO E G SNC;"24939";"GIOCHI E GIOCATTOLI - VIA DEI RIMONI, 26"
"POINT (663110.263508019 5098174.02228964)";;NON ALIMENTARE;;"8970";VIA DEI RIMONI;"26";;0;TRATTORIA-PIZZERIA-BAR-SMORZA DI CALDONAZZI CLAUDIO E G SNC;"24003";
"POINT (663110.263508019 5098174.02228964)";GIORNALI-RIVISTE E PERIODICI;;;"8970";VIA DEI RIMONI;"26";GIORNALI-RIVISTE E PERIODICI;74;TRATTORIA-PIZZERIA-BAR-SMORZA DI CALDONAZZI CLAUDIO E G. SNC;"25042";"GIORNALI-RIVISTE E PERIODICI - VIA DEI RIMONI, 26"
"POINT (664764.446555601 5102180.77799142)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;ABBIGLIAMENTO UOMO E DONNA;"3450";VIALE VERONA;"135";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;150;VERUSKA S.A.S. DI SALTORI BARBARA & C.;"24113";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIALE VERONA, 135"
"POINT (664317.970993104 5101972.40493913)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"1210";VIA GANDHI;"6";MATERIALI TERMOIDRAULICI;187;TRENTO CERAMICHE S.R.L.;"19412";"MATERIALI TERMOIDRAULICI - VIA GANDHI, 6"
"POINT (664317.970993104 5101972.40493913)";MATERIALE DA COSTRUZIONE;NON ALIMENTARE;;"1210";VIA GANDHI;"6";MATERIALE DA COSTRUZIONE;187;TRENTO CERAMICHE S.R.L.;"19412";"MATERIALE DA COSTRUZIONE - VIA GANDHI, 6"
"POINT (665077.99467545 5097886.34452871)";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;NON ALIMENTARE;"VENDITA 1% SETTORE ALIMENTARE MQ. 2,95";"7990";VIA POMERANOS;"14";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;295;GOTTARDO S.P.A.;"25319";"ALTRI PRODOTTI NON CLASS.(MINERALI DA CO - VIA POMERANOS, 14"
"POINT (665077.99467545 5097886.34452871)";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;NON ALIMENTARE;PRODOTTI PER LA PULIZIA E L'IGIENE DI PERSONA E CASA;"7990";VIA POMERANOS;"14";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;295;GOTTARDO S.P.A.;"25319";"ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL. - VIA POMERANOS, 14"
"POINT (664454.53133248 5096088.97704396)";;NON ALIMENTARE;;"7880";LOCALITA' LE BASSE;"33";;0;SOMMER AUTOMAZIONI S.R.L.;"35321";
"POINT (659615.272495722 5105883.02491943)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"8131";VIA DELLA POSTA;"14";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;205;FAMIGLIA COOPERATIVA TERLAGO BONDONE SOCIETA' COOPERATIVA;"23852";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA DELLA POSTA, 14"
"POINT (659615.272495722 5105883.02491943)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"8131";VIA DELLA POSTA;"14";GIORNALI-RIVISTE E PERIODICI;205;FAMIGLIA COOPERATIVA TERLAGO BONDONE SOCIETA' COOPERATIVA;"8773";"GIORNALI-RIVISTE E PERIODICI - VIA DELLA POSTA, 14"
"POINT (658140.584599433 5105164.98099972)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"8260";PIAZZA SAN LEONARDO;"1";GIORNALI-RIVISTE E PERIODICI;88;FAMIGLIA COOPERATIVA TERLAGO E BONDONE SCARL;"8715";"GIORNALI-RIVISTE E PERIODICI - PIAZZA SAN LEONARDO, 1"
"POINT (664806.2200906 5097202.041822)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";NON ALIMENTARE;"PIZZA AL TAGLIO, GELATI, CARAMELLE, ALTRI ALIMENTARI";"7795";VIA G. CATONI;"39";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";90;GESUÈ BARBARA E C. S.N.C.;"14140";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIA G. CATONI, 39"
"POINT (663538.116326257 5100734.33016117)";MATERIALE DA COSTRUZIONE;NON ALIMENTARE;;"8800";VIA DEL PONTE;"37";MATERIALE DA COSTRUZIONE;138;JANESELLI PORTE S.R.L.;"23320";"MATERIALE DA COSTRUZIONE - VIA DEL PONTE, 37"
"POINT (664732.099642869 5101199.06644589)";IPERMERCATI(OLTRE 2500 MQ.-SELF SERVICE);ALIMENTARE E NON ALIMENTARE;;"3353";CENTRO DIR. TRENTO SUD;"11";IPERMERCATI(OLTRE 2500 MQ.-SELF SERVICE);4147;TRENTO SVILUPPO S.R.L.;"23869";"IPERMERCATI(OLTRE 2500 MQ.-SELF SERVICE) - CENTRO DIR. TRENTO SUD, 11"
"POINT (664859.706666755 5101185.03916663)";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;NON ALIMENTARE;;"3450";VIALE VERONA;"210";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;14;LASTA FULVIO & PERGHEM MAURO S.N.C.;"9166";"ART.PER IMPIANTI DISTRIBUZ.CARBURANTI - VIALE VERONA, 210"
"POINT (665136.194271558 5097301.47849228)";PRODOTTI TESSILI;NON ALIMENTARE;VENDITA DI PRODOTTI TESSILI SU CATALOGO;"7984";VIA DELLE REGOLE;"88";PRODOTTI TESSILI;0;EMMEDUE SNC DI MERZ MONICA E MIORELLI PAOLO;"42716";"PRODOTTI TESSILI - VIA DELLE REGOLE, 88"
"POINT (664658.326665589 5101290.49327155)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;;"900";VIA A. DEGASPERI;73/A;AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;1333;PASTORELLO S.R.L.;"23313";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VIA A. DEGASPERI, 73/A"
"POINT (665071.871899286 5097808.87344721)";PANE E LATTE;ALIMENTARE;"ALIMENTARI, ERBORISTERIA";"7990";VIA POMERANOS;"36";PANE E LATTE;140;PANIFICIO TAVONATTI SNC DI TAVONATTI ROBERTO & C.;"25691";"PANE E LATTE - VIA POMERANOS, 36"
"POINT (664280.796632427 5100493.58882998)";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;;;"3811";TANGENZIALE SUD;"4";ART.PER IMPIANTI DISTRIBUZ.CARBURANTI;110;PETROL-AIRPORT S.A.S.;"24843";"ART.PER IMPIANTI DISTRIBUZ.CARBURANTI - TANGENZIALE SUD, 4"
"POINT (659756.8059031 5106051.095291)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"8122";VIA DI COLTURA;9/D;COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;12;RAVAGNI ELENA;"43973";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA DI COLTURA, 9/D"
"POINT (664124.8064835 5101998.352462)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;PRODOTTI DI PROFUMERIA;"3760";VIA PADRE EUSEBIO IORI;"11";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;1;DALLATINA LAURA;"44993";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA PADRE EUSEBIO IORI, 11"
"POINT (659262.715759209 5104050.83491894)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"8055";VIA DI VEGIARA;"8";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;35;NEW LOOK S.N.C. DI NICOLUSSI MONICA E SARTORI ARIANNA;"42369";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA DI VEGIARA, 8"
"POINT (666724.66765502 5103411.2264858)";VARIE;NON ALIMENTARE;CIBO PER CANI E ACCESSORI;"7355";VIA DEI RIVI;1/A;VARIE;0;PELLEGRINI GIANPAOLO;"42481";"VARIE - VIA DEI RIVI, 1/A"
"POINT (664354.698540163 5101618.26379088)";"ELETTRODOMESTICI, RADIO, TELEVISORI";NON ALIMENTARE;RICAMBI DI ELETTRODOMESTICI;"3525";VIA A. VOLTA;"92";"ELETTRODOMESTICI, RADIO, TELEVISORI";40;SIGHEL STEFANO;"25500";"ELETTRODOMESTICI, RADIO, TELEVISORI - VIA A. VOLTA, 92"
"POINT (665229.498355539 5100235.91186269)";;NON ALIMENTARE;;"650";VIA AL CASTELLER;"11";;0;PISANU DANIELA;"24546";
"POINT (664641.219847006 5101349.74025008)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;CICLI;"900";VIA A. DEGASPERI;"71";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;50;PATERNOSTER MICHELE;"30304";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIA A. DEGASPERI, 71"
"POINT (665070.5429197 5100735.603772)";ARTICOLI PER FARMACIA;ALIMENTARE E NON ALIMENTARE;SETTORE ALIMENTARE E NON ALIMENTARE;"3803";PIAZZALE EUROPA;"8";ARTICOLI PER FARMACIA;62;FARMACIE COMUNALI SPA;"25579";"ARTICOLI PER FARMACIA - PIAZZALE EUROPA, 8"
"POINT (665093.29327196 5098141.21423391)";;ALIMENTARE;;"7704";STRADA AI PALAZZI;"7";;0;FATIH ABDELLAH;"44843";
"POINT (663362.573287735 5100756.24223456)";;NON ALIMENTARE;;"8805";VIA HERRSCHING;"1";;0;CASA KLIMA POINT SRLS;"47139";
"POINT (663362.573287735 5100756.24223456)";ARTICOLI PER FARMACIA;ALIMENTARE E NON ALIMENTARE;ALIMENTARE E NON ALIMENTARE;"8805";VIA HERRSCHING;"1";ARTICOLI PER FARMACIA;110;FARMACIA RAVINA S.R.L.;"42828";"ARTICOLI PER FARMACIA - VIA HERRSCHING, 1"
"POINT (664322.77549451 5101930.90917639)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;TERMOSANITARI PIASTRELLE;"1210";VIA GANDHI;"9";MATERIALI TERMOIDRAULICI;29;RANZI SNC DI RANZI MIRKO FABRIZIO E GIORGIO;"12483";"MATERIALI TERMOIDRAULICI - VIA GANDHI, 9"
"POINT (665062.28870721 5097865.8168987)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"7990";VIA POMERANOS;"20";GIORNALI-RIVISTE E PERIODICI;84;MARONI MARTINA;"24652";"GIORNALI-RIVISTE E PERIODICI - VIA POMERANOS, 20"
"POINT (665062.28870721 5097865.8168987)";GIOCHI E GIOCATTOLI;NON ALIMENTARE;;"7990";VIA POMERANOS;"20";GIOCHI E GIOCATTOLI;84;MARONI MARTINA;"24629";"GIOCHI E GIOCATTOLI - VIA POMERANOS, 20"
"POINT (665062.28870721 5097865.8168987)";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;NON ALIMENTARE;;"7990";VIA POMERANOS;"20";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;84;MARONI MARTINA;"24629";"ART.PER RIVENDITE DI GENERI DI MONOPOLIO - VIA POMERANOS, 20"
"POINT (665062.28870721 5097865.8168987)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";NON ALIMENTARE;;"7990";VIA POMERANOS;"20";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";84;MARONI MARTINA;"24629";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIA POMERANOS, 20"
"POINT (659210.18310998 5100486.97685774)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"8053";STRADA DI VASON;"102";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;113;HOTEL VASON S.N.C. DI CALOVI FRANCESCO & C.;"14496";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - STRADA DI VASON, 102"
"POINT (659210.18310998 5100486.97685774)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"8053";STRADA DI VASON;"102";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;93;HOTEL VASON S.N.C. DI CALOVI FRANCESCO & C.;"14493";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - STRADA DI VASON, 102"
"POINT (659210.18310998 5100486.97685774)";GIORNALI-RIVISTE E PERIODICI;;;"8053";STRADA DI VASON;"102";GIORNALI-RIVISTE E PERIODICI;113;HOTEL VASON S.N.C. DI CALOVI FRANCESCO & C.;"8971";"GIORNALI-RIVISTE E PERIODICI - STRADA DI VASON, 102"
"POINT (664757.085714878 5102263.63785066)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"3450";VIALE VERONA;"107";MATERIALI TERMOIDRAULICI;0;AG GREEN S.R.L.;"48046";"MATERIALI TERMOIDRAULICI - VIALE VERONA, 107"
"POINT (664808.851918679 5101479.81373853)";;NON ALIMENTARE;;"3450";VIALE VERONA;"190";;0;VALMAR MEDICAL DEVICES S.R.L.;"47989";
"POINT (664808.851918679 5101479.81373853)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;AUTOVEICOLI USATI;"3450";VIALE VERONA;"190";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;50;DOLOMITI GOMME DI COMITO MICHELE E C. SNC;"47586";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VIALE VERONA, 190"
"POINT (664808.851918679 5101479.81373853)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;ARTICOLI PER LA PESCA;"3450";VIALE VERONA;"190";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;186;MILLENIUM SPORT FISHING DI LANZA ROBERTO & C. S.N.C.;"43949";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIALE VERONA, 190"
"POINT (664808.851918679 5101479.81373853)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;;"3450";VIALE VERONA;"190";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;20;AUTOSERVICE TRENTO S.R.L.;"43896";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VIALE VERONA, 190"
"POINT (662927.0470588 5098323.403841)";;NON ALIMENTARE;;"8945";VIA AI COMUNI;"2";;0;MATTEDI ENZO;"25568";
"POINT (663533.499032064 5100953.68270276)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"8800";VIA DEL PONTE;"25";MATERIALI TERMOIDRAULICI;77;TOMASELLI IRRIGAZIONI S.R.L.;"32529";"MATERIALI TERMOIDRAULICI - VIA DEL PONTE, 25"
"POINT (663533.499032064 5100953.68270276)";;NON ALIMENTARE;;"8800";VIA DEL PONTE;"25";;0;TOMASELLI IRRIGAZIONE S.R.L.;"32521";
"POINT (663379.002524788 5100735.19651767)";VARIE;NON ALIMENTARE;PRODOTTI DI ACCONCIATORE;"8805";VIA HERRSCHING;"7";VARIE;5;REBESCHINI PAOLA;"41900";"VARIE - VIA HERRSCHING, 7"
"POINT (663379.002524788 5100735.19651767)";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);ALIMENTARE E NON ALIMENTARE;;"8805";VIA HERRSCHING;"7";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);800;SAIT CONSORZIO DELLE COOPERATIVE DI CONSUMO TRENTINE S.C.A R;"10018";"SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE) - VIA HERRSCHING, 7"
"POINT (664526.560085275 5101459.68617007)";MATERIALI TERMOIDRAULICI;NON ALIMENTARE;;"1090";VIA E. FERMI;"12";MATERIALI TERMOIDRAULICI;72;SESTER S.R.L.;"31743";"MATERIALI TERMOIDRAULICI - VIA E. FERMI, 12"
"POINT (664526.560085275 5101459.68617007)";ARTICOLI IGIENICO SANITARI;NON ALIMENTARE;MATERIALI TERMOIDRAULICI;"1090";VIA E. FERMI;"12";ARTICOLI IGIENICO SANITARI;72;SESTER S.R.L.;"31743";"ARTICOLI IGIENICO SANITARI - VIA E. FERMI, 12"
"POINT (664959.019222648 5097718.9890693)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;PER L'INFANZIA;"7815";VIA NAZIONALE;"4";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;254;LA CICOGNA SAS DI PALLAORO STEFANIA & C.;"22636";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA NAZIONALE, 4"
"POINT (664057.449798668 5100575.37934443)";;NON ALIMENTARE;;"8800";VIA DEL PONTE;"11";;0;SALDINI DENN;"37546";
"POINT (664892.519076425 5100628.71213169)";;NON ALIMENTARE;;"1760";VIA A. MARIGHETTO;"20";;0;TOVAZZI STEFANIA;"47630";
"POINT (664692.414212688 5097001.98453084)";MACCHINE-ATTREZZ.E PROD.AGRIC.E GIARD.;ALIMENTARE E NON ALIMENTARE;;"7780";VIA DELLA STAZIONE;"3";MACCHINE-ATTREZZ.E PROD.AGRIC.E GIARD.;54;AGRI VERDE SRL;"23290";"MACCHINE-ATTREZZ.E PROD.AGRIC.E GIARD. - VIA DELLA STAZIONE, 3"
"POINT (664398.212905394 5100592.82511172)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;RICAMBI D'AUTO;"1120";VIA FERSINA;6/4;AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;50;PAOLAZZI MASSIMO;"14102";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VIA FERSINA, 6/4"
"POINT (663447.724225902 5106172.51948174)";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;NON ALIMENTARE;"ARTICOLI IN PELLE, SELLERIA, ABBIGLIAMENTO PER L'EQUITAZIONE";"3730";VIA M. STENICO;"36";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;211;DEMATTE' MICHELE;"25231";"ALTRI PRODOTTI NON CLASS.(MINERALI DA CO - VIA M. STENICO, 36"
"POINT (663825.998333152 5104901.15680469)";PANE E LATTE;ALIMENTARE;;"100";CORSO DEGLI ALPINI;"18";PANE E LATTE;28;GIULIANO SOSI S.R.L.;"22664";"PANE E LATTE - CORSO DEGLI ALPINI, 18"
"POINT (664739.507542218 5106160.18645611)";CALZATURE E ARTICOLI IN CUOIO;NON ALIMENTARE;;"6370";VIA DON LEONE SERAFINI;"10";CALZATURE E ARTICOLI IN CUOIO;77;FRONZA NICOLA E PAOLO SNC;"22968";"CALZATURE E ARTICOLI IN CUOIO - VIA DON LEONE SERAFINI, 10"
"POINT (662804.108886205 5106546.090551)";FERRAMENTA;NON ALIMENTARE;;"1570";VIA E. MACCANI;"197";FERRAMENTA;39;E.B.I. GROUP S.R.L.;"13572";"FERRAMENTA - VIA E. MACCANI, 197"
"POINT (663851.526546771 5105573.65590455)";;ALIMENTARE;;"400";VIA DEL BRENNERO;"97";;0;TIKI BOY S.R.L.;"48048";
"POINT (663851.526546771 5105573.65590455)";;NON ALIMENTARE;;"400";VIA DEL BRENNERO;"97";;0;DOGGY S.N.C. DI ANDREA DORIGATTI E C.;"47986";
"POINT (663851.526546771 5105573.65590455)";;NON ALIMENTARE;;"400";VIA DEL BRENNERO;"97";;0;CDL S.R.L.;"47306";
"POINT (663851.526546771 5105573.65590455)";;ALIMENTARE;;"400";VIA DEL BRENNERO;"97";;0;SAPICOMM SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;"47307";
"POINT (662848.756 5106140.63936364)";;ALIMENTARE;;"3780";VIA A. DETASSIS;23/R;;0;BOWINE SRL;"47084";
"POINT (663397.993527941 5106272.51363334)";FERRAMENTA;NON ALIMENTARE;COLORI E VERNICI;"3900";VIA G. BRUNNER;"1";FERRAMENTA;84;P.C. PROFESSIONAL COLOR DI BERTOTTI CLAUDIO & C. S.N.C.;"14452";"FERRAMENTA - VIA G. BRUNNER, 1"
